Date of transaction,Entity name,Number of units,Unit type
30/01/2026,Tasman Environmental Markets Australia Pty Ltd,108,KACCU
30/01/2026,Tasman Environmental Markets Australia Pty Ltd,177,KACCU
30/01/2026,CLIMA SOLUTIONS PTY LTD,361,KACCU
30/01/2026,Tasman Environmental Markets Australia Pty Ltd,13,CER
30/01/2026,Tasman Environmental Markets Australia Pty Ltd,32,CER
30/01/2026,"Climate Impact Partners, LLC",138,CER
29/01/2026,Tasman Environmental Markets Australia Pty Ltd,31,CER
28/01/2026,Tasman Environmental Markets Australia Pty Ltd,1,KACCU
28/01/2026,Tasman Environmental Markets Australia Pty Ltd,208,KACCU
28/01/2026,Carbonhalo Pty Ltd,22,KACCU
28/01/2026,Tasman Environmental Markets Australia Pty Ltd,12,CER
28/01/2026,Tasman Environmental Markets Australia Pty Ltd,323,CER
28/01/2026,Tasman Environmental Markets Australia Pty Ltd,"4,013",CER
27/01/2026,Tasman Environmental Markets Australia Pty Ltd,80,KACCU
27/01/2026,Tasman Environmental Markets Australia Pty Ltd,489,KACCU
27/01/2026,Tasman Environmental Markets Australia Pty Ltd,"1,507",KACCU
23/01/2026,Australia Carbon Traders Pty Ltd,"4,000",KACCU
21/01/2026,Carbon Neutral Pty Ltd,303,CER
21/01/2026,Tasman Environmental Markets Australia Pty Ltd,57,CER
20/01/2026,Tasman Environmental Markets Australia Pty Ltd,10,KACCU
20/01/2026,Tasman Environmental Markets Australia Pty Ltd,6,KACCU
20/01/2026,Tasman Environmental Markets Australia Pty Ltd,12,KACCU
20/01/2026,Tasman Environmental Markets Australia Pty Ltd,34,CER
20/01/2026,Tasman Environmental Markets Australia Pty Ltd,95,CER
20/01/2026,Tasman Environmental Markets Australia Pty Ltd,187,CER
19/01/2026,CLIMA SOLUTIONS PTY LTD,14,KACCU
19/01/2026,CLIMA SOLUTIONS PTY LTD,7,KACCU
19/01/2026,CLIMA SOLUTIONS PTY LTD,90,KACCU
19/01/2026,CLIMA SOLUTIONS PTY LTD,90,KACCU
19/01/2026,CLIMA SOLUTIONS PTY LTD,90,KACCU
15/01/2026,CLIMA SOLUTIONS PTY LTD,26,KACCU
15/01/2026,CLIMA SOLUTIONS PTY LTD,180,KACCU
