Company Name,Cohort,ASRS Tier,Sector,NGER Scope 1 (tCO2e),NGER Scope 2 (tCO2e),Priority
Nyrstar Australia Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),449131.0,188564.0,39.04521633046728
Anglogold Investments Australia Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),444769.0,101.0,39.01593772080227
Arrow Energy Holdings Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),421570.0,10921.0,38.85523046479412
Cajosa Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),415111.12,88747.82,38.80891179419565
Qube Holdings Limited,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),414854.0,22218.0,38.80705302170674
Jellinbah Group Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),406136.0,11493.0,38.74333746026392
Pembroke Resources Nominee Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),392766.0,32071.0,38.64291551913979
Jadestone Energy Holdings Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),323242.0,26.0,38.058478924001676
Baybrick Pty. Ltd.,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),303289.0,235654.0,37.86733416743104
Paper Australia Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),297247.17,318731.91,37.8069679743003
Remondis Australia Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),288026.0,2804.0,37.71242851417148
Vault Minerals Limited,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),280892.0,19832.0,37.637187278644525
Qmag Pty Limited,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),269851.0,43700.0,37.516886818632734
Qmetco Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),266489.0,10934.0,37.479275995295566
