asx_code,name,market_cap_aud,scope1_t,scope2_t,s12_t,revenue_aud,cost_paid_aud,cost_paid_pct_mcap,cost_paid_pct_rev,cost_ngfs_nz30_aud,cost_ngfs_nz30_pct_mcap,cost_ngfs_nz30_pct_rev,cost_epa_scc_aud,cost_epa_scc_pct_mcap,cost_epa_scc_pct_rev,cost_bilal_aud,cost_bilal_pct_mcap,cost_bilal_pct_rev,unpriced_gap_aud
TLS,Telstra Group Ltd,41000000000.0,31422.07,677663.56,709085.63,23300000000.0,23080737.256500002,0.05629448111341464,0.09905895818240344,142880754.445,0.3484896449878049,0.613222122081545,208825718.035,0.509331019597561,0.896247716888412,1160631359.184,2.8308081931317073,4.981250468600858,185744980.7785
DXS,Dexus,6000000000.0,7345.0,91230.8,98575.8,860000000.0,3208642.2900000005,0.05347737150000001,0.3730979406976745,19863023.7,0.331050395,2.309653918604651,29030573.1,0.483842885,3.375648034883721,161348869.44,2.689147824,18.76149644651163,25821930.810000002
WES,Wesfarmers Ltd,82000000000.0,786392.6,468676.05,1255068.65,44200000000.0,40852484.557500005,0.04982010311890245,0.0924264356504525,252896332.975,0.3084101621646341,0.5721636492647059,369617717.42499995,0.4507533139329267,0.83623917969457,2054296366.3199997,2.505239471121951,4.64772933556561,328765232.86749995
LLC,Lendlease Group,5400000000.0,13049.0,62236.0,75285.0,8900000000.0,2450526.7500000005,0.045380125000000014,0.027534008426966298,15169927.5,0.2809245833333333,0.1704486235955056,22171432.5,0.41058208333333335,0.24911721910112358,123226488.0,2.281972,1.3845672808988765,19720905.75
RHC,Ramsay Health Care Ltd,11000000000.0,16008.0,127591.0,143599.0,16700000000.0,4674147.45,0.042492249545454545,0.027988906886227544,28935198.5,0.2630472590909091,0.1732646616766467,42289905.5,0.38445368636363636,0.2532329670658683,235042843.2,2.13675312,1.4074421748502994,37615758.05
SUL,Super Retail Group Ltd,4500000000.0,900.0,54894.0,55794.0,3900000000.0,1816094.7000000002,0.040357660000000004,0.04656653076923078,11242491.0,0.24983313333333335,0.288269,16431333.0,0.36514073333333336,0.42131623076923075,91323619.2,2.02941376,2.3416312615384616,14615238.3
CHC,Charter Hall Group,7700000000.0,8587.0,86482.0,95069.0,450000000.0,3094495.95,0.04018825909090909,0.6876657666666667,19156403.5,0.24878446103896104,4.2569785555555555,27997820.5,0.36360805844155847,6.221737888888889,155608939.2,2.0208953142857142,34.579764266666665,24903324.55
MGR,Mirvac Group,6600000000.0,9366.0,69854.0,79220.0,3200000000.0,2578611.0000000005,0.039069863636363646,0.08058159375000001,15962830.0,0.2418610606060606,0.4988384375,23330290.0,0.3534892424242424,0.7290715625,129667296.0,1.964656,4.052103,20751679.0
SCG,Scentre Group,16000000000.0,9432.96,174599.84,184032.8,2700000000.0,5990267.640000001,0.03743917275,0.22186176444444444,37082609.199999996,0.23176630749999996,1.3734299703703703,54197659.599999994,0.33873537249999996,2.0073207259259256,301224887.03999996,1.8826555439999997,11.156477297777776,48207391.95999999
NEM,Newmont Corporation,82000000000.0,425732.69,479673.0,905405.69,26600000000.0,29470955.209500004,0.035940189279878056,0.11079306469736844,182439246.535,0.2224868860182927,0.6858618290789473,266641975.70499998,0.3251731411036585,1.0024134425,1481968033.392,1.8072780895024387,5.571308396210526,237171020.49549997
