Company Name,Symbol,Market
Malaysia Marine and Heavy Engineering Holdings Berhad,5186,Main Market
Malaysia Smelting Corporation Berhad,5916,Main Market
Malaysia Steel Works (KL) Bhd,5098,Main Market
Malaysian Genomics Resource Centre Berhad,0155,ACE Market
Malaysian Pacific Industries Berhad,3867,Main Market
Malaysian Resources Corporation Berhad,1651,Main Market
Malpac Holdings Berhad,4936,Main Market
Malton Berhad,6181,Main Market
Managepay Systems Berhad,0156,ACE Market
Manforce Group Berhad,03015,LEAP Market
Manulife Holdings Berhad,1058,Main Market
Marco Holdings Berhad,3514,Main Market
Marine & General Berhad,5078,Main Market
Master TEC Group Berhad,0295,ACE Market
Master-pack Group Berhad,7029,Main Market
Matang Berhad,0189,ACE Market
Matrix Concepts Holdings Berhad,5236,Main Market
Matrix Parking Solution Holdings Berhad,03019,LEAP Market
Maxim Global Berhad,4022,Main Market
Maxis Berhad,6012,Main Market
Maxland Berhad,7123,Main Market
Maybulk Berhad,5077,Main Market
Mayu Global Group Berhad,7099,Main Market
MBM Resources Bhd,5983,Main Market
MBSB Berhad,1171,Main Market
MCE Holdings Berhad,7004,Main Market
Mclean Technologies Berhad,0167,ACE Market
Mcom Holdings Berhad,03022,LEAP Market
Media Chinese International Limited,5090,Main Market
Media Prima Berhad,4502,Main Market
Mega First Corporation Berhad,3069,Main Market
Melati Ehsan Holdings Berhad,5129,Main Market
Melewar Industrial Group Berhad,3778,Main Market
Menang Corporation (M) Berhad,1694,Main Market
Mentiga Corporation Berhad,5223,Main Market
Mercury Industries Berhad,8192,Main Market
Mercury Securities Group Berhad,0285,ACE Market
Meridian Berhad,5040,Main Market
Mesb Berhad,7234,Main Market
Mesiniaga Berhad,5011,Main Market
Mestron Holdings Berhad,0207,ACE Market
Meta Bright Group Berhad,2097,Main Market
Metro Healthcare Berhad,03005,LEAP Market
Metrod Holdings Berhad,6149,Main Market
Metronic Global Berhad,0043,ACE Market
MGB Berhad,7595,Main Market
MHC Plantations Bhd,5026,Main Market
MI Technovation Berhad,5286,Main Market
Microlink Solutions Berhad,0126,ACE Market
Mieco Chipboard Berhad,5001,Main Market
Mikro MSC Berhad,0112,ACE Market
Milux Corporation Berhad,7935,Main Market
Minetech Resources Berhad,7219,Main Market
Minho (M) Berhad,5576,Main Market
Minox International Group Berhad,0288,ACE Market
MISC Berhad,3816,Main Market
Mitrajaya Holdings Berhad,9571,Main Market
MK Land Holdings Berhad,8893,Main Market
MKH Berhad,6114,Main Market
MKH OIL Palm (East Kalimantan) Berhad,5319,Main Market
Mlabs Systems Berhad,0085,ACE Market
Mmag Holdings Berhad,0034,ACE Market
Mmis Berhad,03027,LEAP Market
MMM Group Berhad,0159,ACE Market
MMS Ventures Berhad,0113,ACE Market
MN Holdings Berhad,0245,ACE Market
MNRB Holdings Berhad,6459,Main Market
